date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:37:00	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:07:00%20GMT	https://maharshi98patel.wixsite.com/arish-technology/49a18e23.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/49a18e23.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:37:00	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:07:00%20GMT	https://maharshi98patel.wixsite.com/arish-technology/2467b183.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/2467b183.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:37:00	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:07:00%20GMT	https://maharshi98patel.wixsite.com/arish-technology/f9fd7cbe.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/f9fd7cbe.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:37:01	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:07:00%20GMT	https://maharshi98patel.wixsite.com/arish-technology/e142d0f4.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/e142d0f4.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:37:01	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:07:01%20GMT	https://maharshi98patel.wixsite.com/arish-technology/96a73741.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/96a73741.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:37:01	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:07:01%20GMT	https://maharshi98patel.wixsite.com/arish-technology/4c758e80.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/4c758e80.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:37:01	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:07:01%20GMT	https://maharshi98patel.wixsite.com/arish-technology/44b62fdc.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/44b62fdc.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:37:02	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:07:01%20GMT	https://maharshi98patel.wixsite.com/arish-technology/7f8c7c3e.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/7f8c7c3e.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:37:02	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:07:01%20GMT	https://maharshi98patel.wixsite.com/arish-technology/fbbc0ea4.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/fbbc0ea4.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:37:02	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:07:02%20GMT	https://maharshi98patel.wixsite.com/arish-technology/5d29307d.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/5d29307d.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
